15.00-95.00,State-gov,77516.00,Bachelors,13.00-20.00,Any,Adm-clerical,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Self-emp-not-inc,83311.00,Bachelors,13.00-20.00,Married-civ-spouse,Exec-managerial,Any,White,Male,0.00-7262.00,0.00,13.00,United-States,<=50K.
15.00-95.00,Private,215646.00,HS-grad,1.00-13.00,Any,Handlers-cleaners,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,234721.00,11th,1.00-13.00,Married-civ-spouse,Handlers-cleaners,Any,Black,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,338409.00,Bachelors,13.00-20.00,Married-civ-spouse,Prof-specialty,Any,Black,Female,0.00-7262.00,0.00,40.00,Cuba,<=50K.
15.00-95.00,Private,284582.00,Masters,13.00-20.00,Married-civ-spouse,Exec-managerial,Any,White,Female,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,160187.00,9th,1.00-13.00,Any,Other-service,Any,Black,Female,0.00-7262.00,0.00,16.00,Jamaica,<=50K.
15.00-95.00,Self-emp-not-inc,209642.00,HS-grad,1.00-13.00,Married-civ-spouse,Exec-managerial,Any,White,Male,0.00-7262.00,0.00,45.00,United-States,>50K.
15.00-95.00,Private,45781.00,Masters,13.00-20.00,Any,Prof-specialty,Any,White,Female,7262.00-100000.00,0.00,50.00,United-States,>50K.
15.00-95.00,Private,159449.00,Bachelors,13.00-20.00,Married-civ-spouse,Exec-managerial,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,>50K.
15.00-95.00,Private,280464.00,Some-college,1.00-13.00,Married-civ-spouse,Exec-managerial,Any,Black,Male,0.00-7262.00,0.00,80.00,United-States,>50K.
15.00-95.00,State-gov,141297.00,Bachelors,13.00-20.00,Married-civ-spouse,Prof-specialty,Any,Asian-Pac-Islander,Male,0.00-7262.00,0.00,40.00,India,>50K.
15.00-95.00,Private,122272.00,Bachelors,13.00-20.00,Any,Adm-clerical,Any,White,Female,0.00-7262.00,0.00,30.00,United-States,<=50K.
15.00-95.00,Private,205019.00,Assoc-acdm,1.00-13.00,Any,Sales,Any,Black,Male,0.00-7262.00,0.00,50.00,United-States,<=50K.
15.00-95.00,Private,245487.00,7th-8th,1.00-13.00,Married-civ-spouse,Transport-moving,Any,Amer-Indian-Eskimo,Male,0.00-7262.00,0.00,45.00,Mexico,<=50K.
15.00-95.00,Self-emp-not-inc,176756.00,HS-grad,1.00-13.00,Any,Farming-fishing,Any,White,Male,0.00-7262.00,0.00,35.00,United-States,<=50K.
15.00-95.00,Private,186824.00,HS-grad,1.00-13.00,Any,Machine-op-inspct,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,28887.00,11th,1.00-13.00,Married-civ-spouse,Sales,Any,White,Male,0.00-7262.00,0.00,50.00,United-States,<=50K.
15.00-95.00,Self-emp-not-inc,292175.00,Masters,13.00-20.00,Any,Exec-managerial,Any,White,Female,0.00-7262.00,0.00,45.00,United-States,>50K.
15.00-95.00,Private,193524.00,Doctorate,13.00-20.00,Married-civ-spouse,Prof-specialty,Any,White,Male,0.00-7262.00,0.00,60.00,United-States,>50K.
15.00-95.00,Private,302146.00,HS-grad,1.00-13.00,Any,Other-service,Any,Black,Female,0.00-7262.00,0.00,20.00,United-States,<=50K.
15.00-95.00,Federal-gov,76845.00,9th,1.00-13.00,Married-civ-spouse,Farming-fishing,Any,Black,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,117037.00,11th,1.00-13.00,Married-civ-spouse,Transport-moving,Any,White,Male,0.00-7262.00,2042.00,40.00,United-States,<=50K.
15.00-95.00,Private,109015.00,HS-grad,1.00-13.00,Any,Tech-support,Any,White,Female,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Local-gov,216851.00,Bachelors,13.00-20.00,Married-civ-spouse,Tech-support,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,>50K.
15.00-95.00,Private,168294.00,HS-grad,1.00-13.00,Any,Craft-repair,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Private,367260.00,HS-grad,1.00-13.00,Any,Exec-managerial,Any,White,Male,0.00-7262.00,0.00,80.00,United-States,<=50K.
15.00-95.00,Private,193366.00,HS-grad,1.00-13.00,Married-civ-spouse,Craft-repair,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,Local-gov,190709.00,Assoc-acdm,1.00-13.00,Any,Protective-serv,Any,White,Male,0.00-7262.00,0.00,52.00,United-States,<=50K.
15.00-95.00,Private,266015.00,Some-college,1.00-13.00,Any,Sales,Any,Black,Male,0.00-7262.00,0.00,44.00,United-States,<=50K.
15.00-95.00,Private,386940.00,Bachelors,13.00-20.00,Any,Exec-managerial,Any,White,Male,0.00-7262.00,1408.00,40.00,United-States,<=50K.
15.00-95.00,Federal-gov,59951.00,Some-college,1.00-13.00,Married-civ-spouse,Adm-clerical,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
15.00-95.00,State-gov,311512.00,Some-college,1.00-13.00,Married-civ-spouse,Other-service,Any,Black,Male,0.00-7262.00,0.00,15.00,United-States,<=50K.
15.00-95.00,Private,242406.00,11th,1.00-13.00,Any,Machine-op-inspct,Any,White,Male,0.00-7262.00,0.00,40.00,Puerto-Rico,<=50K.
15.00-95.00,Private,197200.00,Some-college,1.00-13.00,Any,Machine-op-inspct,Any,White,Male,0.00-7262.00,0.00,40.00,United-States,<=50K.
