b,30.83,0.00,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
a,58.67,4.46,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
a,24.50,0.50,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,27.83,1.54,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,20.17,5.63,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,s,0.00-2001.00,0.00-100001.00,+.
b,32.08,4.00,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,33.17,1.04,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
a,22.92,11.59,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,54.42,0.50,y,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,42.50,4.91,y,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,22.08,0.83,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,29.92,1.84,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
a,38.25,6.00,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,48.08,6.04,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
a,45.83,10.50,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,36.67,4.41,y,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
b,28.25,0.88,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
a,23.25,5.88,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,21.83,0.25,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
a,19.17,8.59,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,25.00,11.25,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
b,23.25,1.00,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,s,0.00-2001.00,0.00-100001.00,+.
a,47.75,8.00,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
a,27.42,14.50,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,f,g,0.00-2001.00,0.00-100001.00,+.
a,41.17,6.50,u,Any,Any,Any,0.00-30.00,Any,Any,0.00-70.00,t,g,0.00-2001.00,0.00-100001.00,+.
